                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5568,                 6.7635,                      0,                 2.1881,                 1.7407,                0.20463,                0.11111,                0.06783,                0.03679,                0.00702,                0.77778,                0.00874,                0.00117,                 2.0073,                 5.6594,                      0,                 3.3692,                 2.1893,                    0.1,                      0,                      0
                      2,                0.96606,                 6.4528,                      0,                 1.1989,                 1.2757,                0.33077,                0.33333,                0.32432,                0.23037,                0.71182,                0.22222,                0.22491,                0.04326,                 1.5031,                 5.3744,                      0,                 3.0669,                 1.8779,                0.09909,               9.01e-05,               9.01e-05
                      3,                0.46389,                 5.9579,                      0,                0.52679,                0.99548,                0.86041,                0.55556,                0.64537,                0.33639,                0.44921,                0.33333,                0.24751,                0.04553,                 1.6286,                 5.2248,                      0,                 3.8199,                 1.8282,                0.09816,              0.0001604,              0.0001604
                      4,                0.76267,                 5.4136,                      0,                  0.602,                 1.1025,                0.61804,                0.55556,                0.56292,                0.33464,                0.36595,                0.38889,                0.17166,                0.05318,                 1.4691,                 4.9969,                      0,                 3.6392,                 1.6433,               0.097211,              0.0002109,              0.0002109
                      5,                0.56331,                 5.3045,                      0,                0.49548,                0.91429,                0.58151,                0.55556,                0.47858,                 0.3087,                 0.3451,                0.33333,                0.19665,                0.10174,                 1.9671,                 4.9805,                      0,                 2.6778,                 2.2144,               0.096242,              0.0002416,              0.0002416
                      6,                0.72821,                  4.685,                      0,                0.48655,                0.97835,                0.55319,                0.55556,                0.44763,                0.27558,                0.32009,                0.33333,                0.17658,                0.07006,                 1.8548,                 5.4488,                      0,                 2.4982,                 2.0698,               0.095253,              0.0002525,              0.0002525
                      7,                0.57962,                 4.2225,                      0,                 0.4112,                0.88746,                0.31302,                0.44444,                0.20229,                0.06101,                0.33534,                0.33333,                0.21492,                0.04652,                 3.2838,                 5.4835,                      0,                 2.4834,                 3.7117,               0.094244,              0.0002436,              0.0002436
