                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8378,                 6.0542,                      0,                 3.3546,                 2.1732,                0.43256,                0.33333,                0.30952,                0.05208,                0.22619,                0.16667,                0.07603,                0.01314,                 3.0547,                 5.4661,                      0,                 2.3116,                 4.7435,                      0,                      0,                      0
                      2,                 2.6792,                 6.5123,                      0,                 3.6075,                 3.0117,                0.64875,                0.33333,                0.32473,                0.05235,                0.15498,                0.16667,                0.07381,                0.01234,                 3.1368,                 5.4417,                      0,                 2.2024,                 4.8099,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 2.4362,                 6.3378,                      0,                 3.2606,                 2.7665,                0.58946,                0.32015,                0.27725,                0.04671,                0.07168,                0.16667,                0.05831,                0.00919,                 3.2474,                 5.4153,                      0,                 2.0394,                 5.0159,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 1.3518,                 5.8993,                      0,                 1.7204,                 1.6551,                0.48652,                0.33333,                0.27171,                0.04179,                0.02022,                0.61111,                 0.0542,                0.00986,                  3.365,                 5.4067,                      0,                 1.8342,                    5.3,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 1.4934,                 6.3276,                      0,                 1.5091,                 1.9096,                0.52045,                0.27778,                0.27207,                0.03953,                0.06078,                0.22222,                0.04381,                0.00604,                 3.3379,                 5.3464,                      0,                 1.8909,                 5.4558,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                0.78099,                 5.8834,                      0,                0.76442,                 1.2049,                0.42114,                0.32393,                0.26652,                 0.0417,                0.08997,                0.22222,                0.04647,                0.00543,                 3.3207,                 5.2825,                      0,                 1.9446,                 5.5798,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                0.90665,                 5.5829,                      0,                0.75647,                 1.4881,                0.30039,                0.38889,                0.23899,                0.03948,                 0.0637,                0.33333,                0.03855,                0.00561,                 3.3447,                 5.2682,                      0,                 1.9611,                 5.6825,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                0.75971,                 5.5208,                      0,                0.70033,                 1.3672,                0.31749,                0.44444,                0.25058,                0.04217,                0.07172,                0.27778,                0.03936,                0.00569,                 3.3858,                  5.293,                      0,                 1.9729,                 5.8301,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                0.82402,                 5.6021,                      0,                0.72311,                 1.3387,                0.31297,                0.44444,                0.24531,                 0.0421,                0.05844,                0.22222,                0.04041,                0.00576,                 3.3733,                 5.3119,                      0,                 1.9474,                 5.8085,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                0.76986,                  5.648,                      0,                0.65995,                 1.2501,                0.30915,                0.44444,                0.24522,                0.04525,                0.09322,                0.38889,                0.04822,                0.00659,                 3.3361,                  5.348,                      0,                 1.9856,                 5.7565,              1.962e-05,              1.962e-05,              1.962e-05
